Security Policy: KRIS10-PUBFW-Rule	-
-	TCP_8656
-	-
253	TCP_1700
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
254	TCP_1700
-	-
-	-
255	TCP_10000
-	TCP_8655
256	TCP_1700
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
257	TCP_1700
-	-
-	-
-	-
258	sqlnet1
-	-
259	TCP_1700
-	-
260	ftp
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
261	MySQL
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
262	TCP_2181
-	TCP_9092
-	TCP_9999
-	TCP_10000
-	-
-	-
-	-
-	-
-	-
263	TCP_9000
-	TCP_9001
-	TCP_9002
-	TCP_9003
-	TCP_9004
-	TCP_9005
264	MySQL
-	-
-	-
265	TCP_12906
266	HTTP_and_HTTPS_proxy
-	TCP_2181
-	-
-	-
-	-
267	TCP_1700
-	-
-	-
268	TCP_2181
-	TCP_9000
-	TCP_9092
-	TCP_9999
-	TCP_10000
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
269	TCP_1700
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
270	MySQL
-	-
-	-
-	-
-	-
-	-
-	-
271	MySQL
-	-
-	-
-	-
272	MySQL
-	-
-	-
273	TCP_11211
-	-
-	-
-	-
274	TCP_11211
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
275	MySQL
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
276	TCP_1700
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
277	MySQL
-	-
-	-
-	-
278	MySQL
-	-
-	-
279	MySQL
280	TCP_11211
-	-
281	TCP_11211
-	TCP_11212
-	TCP_11213
282	TCP_1700
-	UDP_2404
-	-
