Security Policy: KRIS10-PUBFW-Rule	-
-	Commerce_WAS_Grp
-	Public_NAT_175.126.208.27_Grp
-	Public_NAT_175.126.208.28_Grp
-	Public_NAT_175.126.208.26_Grp
152	Public_NAT_175.126.208.44_Grp
-	Host_172.22.120.103
-	Host_172.22.120.104
-	Host_172.22.120.105
-	Host_172.22.120.107
-	Host_172.22.120.108
-	Host_172.22.120.109
-	Host_172.22.120.113
-	Host_172.22.120.114
-	Host_172.22.120.115
-	Host_172.22.120.119
-	Host_172.22.120.120
-	Host_172.22.120.121
-	Host_172.22.202.57
-	Host_172.22.202.58
-	Host_172.22.202.59
-	Host_172.22.202.63
-	Host_172.22.202.64
-	Host_172.22.202.65
-	Host_172.22.202.69
-	Host_172.22.202.70
-	Host_172.22.203.35
-	Host_172.22.203.36
-	Host_172.22.203.37
153	Public_NAT_175.126.208.37_Grp
-	-
-	-
154	Public_NAT_175.126.208.40_Grp
-	Host_172.22.195.37
-	Public_NAT_175.126.208.22_Grp
-	Public_NAT_175.126.208.23_Grp
-	Public_NAT_175.126.208.24_Grp
-	Public_NAT_175.126.208.60_Grp
-	Host_172.22.120.134
-	Host_172.22.120.135
-	Host_172.22.120.136
-	Host_172.22.120.169
155	Public_NAT_175.126.208.55_Grp
-	-
-	-
-	-
156	Host_172.22.202.161
-	Host_172.22.202.162
157	Public_NAT_175.126.208.77_Grp
-	-
158	Public_NAT_175.126.208.70_Grp
-	-
159	Public_NAT_175.126.208.60_Grp
-	-
-	-
-	-
-	-
-	-
-	-
160	Public_NAT_175.126.208.58_Grp
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
161	Public_NAT_175.126.208.78_Grp
-	-
-	-
-	-
-	-
-	-
162	Public_NAT_175.126.208.60_Grp
-	-
-	-
-	-
-	-
-	-
163	Public_NAT_175.126.208.80_Grp
-	-
164	Public_NAT_175.126.208.11_Grp
-	Public_NAT_175.126.208.12_Grp
165	Public_NAT_175.126.208.59_Grp
-	-
-	-
166	Public_NAT_175.126.208.57_Grp
-	Public_NAT_175.126.208.82_Grp
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
167	Public_NAT_175.126.208.79__Grp
-	-
-	-
168	Public_NAT_175.126.208.82_Grp
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
169	L4_172.22.206.68
-	-
170	Host_172.22.119.153
-	Host_172.22.119.154
-	-
171	Public_NAT_175.126.208.85_Grp
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
172	Public_NAT_175.126.208.88_Grp
-	-
-	-
